"pointNum","accumDst","temp","elevation-n-vancouver","elevation-s-vancouver","value"
0,0,,-2147483648,69,69
1,8,,-2147483648,69,69
2,16,,-2147483648,69,69
3,24,,-2147483648,69,69
4,32,,-2147483648,71,71
5,40,,-2147483648,71,71
6,48,,-2147483648,71,71
7,56,,-2147483648,71,71
8,64,,-2147483648,71,71
9,72,,-2147483648,73,73
10,80,,-2147483648,73,73
11,88,,-2147483648,74,74
12,96,,-2147483648,74,74
13,104,,-2147483648,74,74
14,112,,-2147483648,74,74
15,120,,-2147483648,74,74
16,128,,-2147483648,75,75
17,136,,-2147483648,75,75
18,144,,-2147483648,75,75
19,152,,-2147483648,75,75
20,160,,-2147483648,75,75
21,168,,-2147483648,72,72
22,176,,-2147483648,72,72
23,184,,-2147483648,72,72
24,192,,-2147483648,77,77
25,200,,-2147483648,77,77
26,208,,-2147483648,78,78
27,216,,-2147483648,77,77
28,224,,-2147483648,77,77
29,232,,-2147483648,77,77
30,240,,-2147483648,76,76
31,248,,-2147483648,77,77
32,256,,-2147483648,77,77
33,264,,-2147483648,75,75
34,272,,-2147483648,75,75
35,280,,-2147483648,77,77
36,288,,-2147483648,77,77
37,296,,-2147483648,77,77
38,304,,-2147483648,77,77
39,312,,-2147483648,78,78
40,320,,-2147483648,77,77
41,328,,-2147483648,77,77
42,336,,-2147483648,77,77
43,344,,-2147483648,77,77
44,352,,-2147483648,77,77
45,360,,-2147483648,75,75
46,368,,-2147483648,75,75
47,376,,-2147483648,75,75
48,384,,-2147483648,75,75
49,392,,-2147483648,75,75
50,400,,-2147483648,77,77
51,408,,-2147483648,78,78
52,416,,-2147483648,78,78
53,424,,-2147483648,78,78
54,432,,-2147483648,81,81
55,440,,-2147483648,80,80
56,448,,-2147483648,80,80
57,456,,-2147483648,80,80
58,464,,-2147483648,81,81
59,472,,-2147483648,81,81
60,480,,-2147483648,81,81
61,488,,-2147483648,82,82
62,496,,-2147483648,82,82
63,504,,-2147483648,82,82
64,512,,-2147483648,83,83
65,520,,-2147483648,83,83
66,528,,-2147483648,82,82
67,536,,-2147483648,82,82
