"pointNum","accumDst","foo","elevation-n-vancouver","elevation-s-vancouver","value"
0,0,,-2147483648,69,69
1,8,,-2147483648,69,69
2,16,,-2147483648,69,69
3,24,,-2147483648,69,69
4,32,,-2147483648,71,71
5,40,,-2147483648,71,71
6,48,,-2147483648,71,71
7,56,,-2147483648,71,71
8,64,,-2147483648,71,71
9,72,,-2147483648,68,68
10,80,,-2147483648,68,68
11,88,,-2147483648,68,68
12,96,,-2147483648,68,68
13,104,,-2147483648,68,68
14,112,,-2147483648,67,67
15,120,,-2147483648,67,67
16,128,,-2147483648,67,67
17,136,,-2147483648,66,66
18,144,,-2147483648,66,66
19,152,,-2147483648,64,64
20,160,,-2147483648,64,64
21,168,,-2147483648,64,64
22,176,,-2147483648,62,62
23,184,,-2147483648,62,62
24,192,,-2147483648,62,62
25,200,,-2147483648,62,62
26,208,,-2147483648,60,60
27,216,,-2147483648,60,60
28,224,,-2147483648,60,60
29,232,,-2147483648,57,57
30,240,,-2147483648,57,57
31,248,,-2147483648,57,57
32,256,,-2147483648,57,57
33,264,,-2147483648,57,57
34,272,,-2147483648,56,56
35,280,,-2147483648,56,56
36,288,,-2147483648,55,55
37,296,,-2147483648,55,55
38,304,,-2147483648,55,55
39,312,,-2147483648,55,55
40,320,,-2147483648,55,55
41,328,,-2147483648,54,54
42,336,,-2147483648,54,54
43,344,,-2147483648,54,54
44,352,,-2147483648,55,55
45,360,,-2147483648,55,55
46,368,,-2147483648,55,55
47,376,,-2147483648,55,55
48,384,,-2147483648,55,55
49,392,,-2147483648,55,55
50,400,,-2147483648,55,55
51,408,,-2147483648,53,53
52,416,,-2147483648,53,53
53,424,,-2147483648,54,54
54,432,,-2147483648,54,54
55,440,,-2147483648,54,54
56,448,,-2147483648,54,54
57,456,,-2147483648,54,54
58,464,,-2147483648,53,53
59,472,,-2147483648,53,53
60,480,,-2147483648,53,53
61,488,,-2147483648,54,54
62,496,,-2147483648,54,54
63,504,,-2147483648,54,54
64,512,,-2147483648,54,54
65,520,,-2147483648,54,54
66,528,,-2147483648,53,53
67,536,,-2147483648,53,53
