pointNum,accumDst,pkuid,temp,elevation-n-vancouver,elevation-s-vancouver
0,             0.00000,5,via-pacific,            16.00000,   -2147480000.00000
1,             8.00000,5,via-pacific,            16.00000,   -2147480000.00000
2,            16.00000,5,via-pacific,            16.00000,   -2147480000.00000
3,            24.00000,5,via-pacific,            16.00000,   -2147480000.00000
4,            32.00000,5,via-pacific,            16.00000,   -2147480000.00000
5,            40.00000,5,via-pacific,            15.00000,   -2147480000.00000
6,            48.00000,5,via-pacific,            15.00000,   -2147480000.00000
7,            56.00000,5,via-pacific,            15.00000,   -2147480000.00000
8,            64.00000,5,via-pacific,            15.00000,   -2147480000.00000
9,            72.00000,5,via-pacific,            15.00000,   -2147480000.00000
10,            80.00000,5,via-pacific,            16.00000,   -2147480000.00000
11,            88.00000,5,via-pacific,            16.00000,   -2147480000.00000
12,            96.00000,5,via-pacific,            17.00000,   -2147480000.00000
13,           104.00000,5,via-pacific,            17.00000,   -2147480000.00000
14,           112.00000,5,via-pacific,            19.00000,   -2147480000.00000
15,           120.00000,5,via-pacific,            19.00000,   -2147480000.00000
16,           128.00000,5,via-pacific,            19.00000,   -2147480000.00000
17,           136.00000,5,via-pacific,            19.00000,   -2147480000.00000
18,           144.00000,5,via-pacific,            19.00000,   -2147480000.00000
19,           152.00000,5,via-pacific,            19.00000,   -2147480000.00000
20,           160.00000,5,via-pacific,            19.00000,   -2147480000.00000
21,           168.00000,5,via-pacific,            19.00000,   -2147480000.00000
22,           176.00000,5,via-pacific,            20.00000,   -2147480000.00000
23,           184.00000,5,via-pacific,            20.00000,   -2147480000.00000
24,           192.00000,5,via-pacific,            20.00000,   -2147480000.00000
25,           200.00000,5,via-pacific,            20.00000,   -2147480000.00000
26,           208.00000,5,via-pacific,            19.00000,   -2147480000.00000
27,           216.00000,5,via-pacific,            19.00000,   -2147480000.00000
28,           224.00000,5,via-pacific,            19.00000,   -2147480000.00000
29,           232.00000,5,via-pacific,            19.00000,   -2147480000.00000
